entry_id;language_code;german_section;german_chapter;german_subsection;german_clinical_situation;german_recommendation
1;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Normale Nachsorge;Eine Wiederholung wäre aus klinischen Gründen indiziert wenn sich der Zustand des Patienten signifikant verändert hat und dies auf ein akutes Nierenproblem (oder ein anderes elektrolytbezogenes Problem) hindeutet
2;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Überwachung eines stabilen stationären Patienten ohne intravenöse Flüssigkeiten;Ein stationärer Patient mit einem Aufnahme-Natrium im Referenzbereich sollte während der durchschnittlichen Aufenthaltsdauer von vier Tagen keine Wiederholung des Natriumwerts erhalten
3;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Überwachung eines stabilen stationären Patienten mit intravenösen Flüssigkeiten (Erwachsene und Kinder);Tägliche Überwachung von U&E und Glucose
4;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Bei symptomatischen Patienten oder nach Gabe von hypertonischer Kochsalzlösung;Die Überwachung sollte häufiger erfolgen, d.h. alle zwei bis vier Stunden
5;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Patient mit diagnostizierter AKI;U&E-Kontrolle bei Aufnahme und innerhalb von 24 Stunden
6;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Überwachung von ACE-Hemmern;Innerhalb einer Woche nach Beginn und eine Woche nach jeder Dosistitration, dann jährlich (außer häufiger erforderlich aufgrund eingeschränkter Nierenfunktion) Medikamente mit Trimethoprim können ebenfalls zu einem deutlichen Anstieg des Serumkreatinins führen ohne die Nierenfunktion direkt zu beeinträchtigen. Das Serumkreatinin sollte wiederholt werden um ein genaueres Serumkreatinin (und eGFR) zu erhalten 48 Stunden nachdem trimethoprimhaltige Medikamente abgesetzt wurden
7;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Diuretikatherapie;Vor Therapiebeginn und nach vier Wochen, dann alle sechs Monate/jährlich oder häufiger bei älteren Patienten oder Patienten mit Nierenerkrankungen, Störungen die den Elektrolytstatus beeinflussen oder Patienten die andere Medikamente einnehmen (z.B. Kortikosteroide, Digoxin)
8;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Überwachung der Kaliumkonzentrationen bei Patienten unter Digoxin;Acht Tage nach Beginn oder Änderung der Digoxin-Therapie und/oder Zugabe/Wegnahme eines interagierenden Medikaments, dann jährlich bei unveränderter Situation
9;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Überwachung der Kaliumkonzentrationen bei Patienten unter Digoxin und Diuretika;Regelmäßige Überwachung
10;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Aminosalicylate;Bei älteren Patienten alle drei Monate im ersten Jahr, dann alle sechs Monate für die nächsten vier Jahre, danach jährlich basierend auf persönlichen Risikofaktoren
11;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Carbamazepin;Sechs Monate
12;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Antipsychotika;12 Monate
13;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;eGFR-EPI: CKD;Wiederholung in 14 Tagen bei neuen Befunden einer reduzierten GFR und/oder Bestätigung einer eGFR <60 mL/min/1.73 m2 *eGFR nach MDRD nicht gültig bei AKI
14;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;eGFR-EPI: Radiologische Verfahren/Kontrastmittelgabe;eGFR oder Kreatinin innerhalb der letzten sieben Tage bei Patienten mit akuter Erkrankung oder Nierenerkrankung eGFR für Angiographie: <60 mL/min/1.73 m2 sollte lokale Richtlinien für Kontrastmitteldosierung auslösen eGFR für Gadolinium: <30 mL/min/1.73 m2 Hochrisiko-Mittel kontraindiziert eGFR: 30–59 mL/min/1.73 m2 niedrigste mögliche Dosis kann verwendet werden und nicht innerhalb von sieben Tagen wiederholt
15;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;eGFR: Cockcroft-Gault;Zur Schätzung von Chemotherapie- und Medikamentendosierungen. Innerhalb von 24 Stunden außer bei sich schnell ändernden Kreatininkonzentrationen oder Flüssigkeitsbalance
16;de;Biochemie;2.1 Niere (bezieht sich auf die Messung von U&E, sofern nicht anders angegeben);;Iohexol GFR;72 Stunden zur Vermeidung von Kontamination (basierend auf Halbwertszeit von Iohexol von zwei Stunden)
17;de;Biochemie;2.2 Knochen (bezieht sich auf die Messung des Knochenprofils, sofern nicht anders angegeben);;Nicht-akute Situation außer bei anderen klinischen Indikationen;Untersuchung in dreimonatigen Abständen
18;de;Biochemie;2.2 Knochen (bezieht sich auf die Messung des Knochenprofils, sofern nicht anders angegeben);;Akute Situationen;Untersuchung in 48-Stunden-Abständen
19;de;Biochemie;2.2 Knochen (bezieht sich auf die Messung des Knochenprofils, sofern nicht anders angegeben);;Akute Hypo-/Hyperkalzämie, TPN und ITU-Patienten;Kann häufigere Überwachung erfordern
20;de;Biochemie;2.2 Knochen (bezieht sich auf die Messung des Knochenprofils, sofern nicht anders angegeben);;ALP und Gesamtprotein in akuter Situation;Untersuchung in wöchentlichen Abständen. ALP muss möglicherweise häufiger kontrolliert werden, aber wahrscheinlich nur im Kontext akuter cholestatischer Veränderungen. Siehe Leberempfehlungen (Abschnitt 2.3)
21;de;Biochemie;2.2 Knochen (bezieht sich auf die Messung des Knochenprofils, sofern nicht anders angegeben);;Vitamin D-Anfrage: keine klinischen Anzeichen und Symptome;Nicht erneut testen (unabhängig vom Ergebnis da möglicherweise keine Indikation zum ursprünglichen Test bestand)
22;de;Biochemie;2.2 Knochen (bezieht sich auf die Messung des Knochenprofils, sofern nicht anders angegeben);;Vitamin D-Anfrage: Cholecalciferol- oder Ergocalciferol-Therapie für jede klinische Indikation, bei der die Baseline-Vitamin-D-Konzentration ausreichend war;Nicht erneut testen, außer anderweitig klinisch indiziert, z.B. kranker Zöliakie- oder Morbus Crohn-Patient
23;de;Biochemie;2.2 Knochen (bezieht sich auf die Messung des Knochenprofils, sofern nicht anders angegeben);;Vitamin D-Anfrage: Cholecalciferol- oder Ergocalciferol-Therapie für jede klinische Indikation, bei der die Baseline-Vitamin-D-Konzentration niedrig war und eine Grunderkrankung vorliegt die die Absorption negativ beeinflussen könnte;Wiederholung nach drei bis sechs Monaten unter empfohlener Ersatzdosis
24;de;Biochemie;2.2 Knochen (bezieht sich auf die Messung des Knochenprofils, sofern nicht anders angegeben);;Vitamin D-Anfrage: Calcitriol- oder Alphacalcidol-Therapie;Vitamin D nicht messen
25;de;Biochemie;2.2 Knochen (bezieht sich auf die Messung des Knochenprofils, sofern nicht anders angegeben);;Biochemische Untersuchung bei CKD-MBD: CKD Stadien 3–5;Für Stadium 3b progressiv, Knochenprofil alle sechs Monate testen, PTH bei Baseline und 25OHVitD bei Baseline Für Stadium 4, Knochenprofil alle drei Monate testen, PTH alle sechs Monate und 25OHVitD bei Baseline Für Stadium 5, Knochenprofil jeden Monat testen, PTH alle drei Monate und 25OHVitD bei Baseline Für Stadium 5D, Knochenprofil jeden Monat testen, PTH alle drei Monate und 25OHVitD bei Baselinelich Serum-TSH kontrolliert bekommen Ein jährliches fT4 sollte bei allen Patienten mit sekundärer Hypothyreose die auf Thyroxintherapie stabilisiert sind durchgeführt werden
42;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Überwachung subklinischer Hyperthyreose bei Erwachsenen;Falls ein Serum-TSH unter dem Referenzbereich aber >0.1 mU/L gefunden wird, sollte die Messung ein bis zwei Monate später zusammen mit T4 und T3 wiederholt werden nach Ausschluss von nicht-thyreoidalen Erkrankungen und Medikamenteninterferenzen. Dies wird später in den Leitlinien widersprochen wenn die Autoren angeben dass ein drei- bis sechsmonatiges Wiederholungsintervall angemessen ist außer der Patient ist älter oder hat eine zugrundeliegende Gefäßerkrankung Falls keine Behandlung unternommen wird, sollte Serum-TSH langfristig alle sechs bis 12 Monate gemessen werden, mit Nachsorge mit fT4 und fT3 falls das Serum-TSH-Ergebnis niedrig ist
43;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Überwachung subklinischer Hypothyreose bei Erwachsenen;Patienten mit subklinischer Hypothyreose sollten das Muster innerhalb von drei bis sechs Monaten bestätigt bekommen um vorübergehende Ursachen für erhöhtes TSH auszuschließen Personen mit subklinischer Hypothyreose die ATPOab positiv sind sollten TSH und fT4 jährlich kontrolliert bekommen Personen mit subklinischer Hypothyreose die ATPOab negativ sind sollten TSH und fT4 alle drei Jahre kontrolliert bekommen
44;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Nachsorge von Patienten die ein differenziertes (papilläres und follikuläres) Schilddrüsenkarzinom und eine totale Thyreoidektomie und 131I-Ablation hatten;TSH und fT4 sollten gemessen werden während die Levothyroxin-Dosis steigt (alle sechs Wochen) bis das Serum-TSH <0.1 mIU/L ist. Danach sollten sie jährlich gemessen werden außer klinisch indiziert/schwanger Proben für Tg sollten nicht früher als sechs Wochen nach Thyreoidektomie oder 131I-Ablation/Therapie gesammelt werden. TSH, fT4/fT3 (je nachdem was supplementiert wird) und TgAb sollten angefordert werden wenn Tg gemessen wird. Falls TgAb nachweisbar sind, sollte die Messung alle sechs Monate wiederholt werden
